epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.38566,2.1787,4.56709,1.71395,0.02381,0.14286,0.02843,0.01421,2.05809,4.53291,1.69176,0,0,0
2,15.883,2.51854,4.73615,1.82042,0.02381,0.14286,0.02843,0.01421,2.06191,4.53348,1.69275,5.29788e-06,5.29788e-06,5.29788e-06
3,22.2242,2.27092,4.72105,1.7169,0.02381,0.14286,0.02843,0.01706,2.0661,4.53198,1.69654,9.43152e-06,9.43152e-06,9.43152e-06
4,28.5941,2.05179,4.60294,1.70263,0.02381,0.14286,0.02843,0.01706,2.07398,4.53479,1.68542,1.24009e-05,1.24009e-05,1.24009e-05
5,34.8302,2.10166,4.52347,1.6066,0.02381,0.14286,0.02843,0.0199,2.09427,4.53943,1.68498,1.42061e-05,1.42061e-05,1.42061e-05
6,41.5492,2.32748,4.65323,1.78946,0.02041,0.14286,0.04738,0.02843,2.10704,4.54041,1.67497,1.4847e-05,1.4847e-05,1.4847e-05
7,47.5005,2.18685,4.57332,1.70124,0.01786,0.14286,0.04738,0.02843,2.10169,4.54077,1.67384,1.43237e-05,1.43237e-05,1.43237e-05
8,53.3772,2.05621,4.48569,1.60975,0.01786,0.14286,0.04738,0.02843,2.107,4.54648,1.67923,1.26361e-05,1.26361e-05,1.26361e-05
9,58.9112,2.15805,4.67418,1.73076,0.01786,0.14286,0.04738,0.02843,2.107,4.54648,1.67923,9.78432e-06,9.78432e-06,9.78432e-06
10,64.7161,2.25551,4.52815,1.77367,0.02041,0.14286,0.07107,0.03554,2.07842,4.54396,1.67388,5.76828e-06,5.76828e-06,5.76828e-06
